date,year,decade,home_team,away_team,home_team_code,away_team_code,home_score,away_score,match_result,matchday_name,round,type,match_attendance,stadium_country_code,stadium_capacity
1958-09-28,1958,1950,USSR,Hungary,URS,HUN,3.0,1.0,H,1,ROUND_OF_16,FIRST_LEG,100572.0,RUS,81015.0
1958-10-01,1958,1950,France,Greece,FRA,GRE,7.0,1.0,H,1,ROUND_OF_16,FIRST_LEG,37590.0,FRA,47926.0
1958-11-02,1958,1950,Romania,Türki̇ye,ROU,TUR,3.0,0.0,H,1,ROUND_OF_16,FIRST_LEG,67200.0,ROU,0.0
1958-12-03,1958,1950,Greece,France,GRE,FRA,1.0,1.0,D,2,ROUND_OF_16,SECOND_LEG,18833.0,GRE,68224.0
1959-04-05,1959,1950,Republic of Ireland,Czechoslovakia,IRL,TCH,2.0,0.0,H,1,PRELIMINARY,FIRST_LEG,37500.0,IRL,2740.0
1959-04-26,1959,1950,Türki̇ye,Romania,TUR,ROU,2.0,0.0,H,2,ROUND_OF_16,SECOND_LEG,23567.0,TUR,32086.0
1959-05-10,1959,1950,Czechoslovakia,Republic of Ireland,TCH,IRL,4.0,0.0,H,2,PRELIMINARY,SECOND_LEG,41691.0,SVK,29887.0
1959-05-20,1959,1950,Norway,Austria,NOR,AUT,0.0,1.0,A,1,ROUND_OF_16,FIRST_LEG,27566.0,NOR,27184.0
1959-05-31,1959,1950,Yugoslavia,Bulgaria,YUG,BUL,2.0,0.0,H,1,ROUND_OF_16,FIRST_LEG,25000.0,SRB,29662.0
1959-06-21,1959,1950,German Dem. Rep.,Portugal,GDR,POR,0.0,2.0,A,1,ROUND_OF_16,FIRST_LEG,23418.0,GER,0.0
1959-06-28,1959,1950,Portugal,German Dem. Rep.,POR,GDR,3.0,2.0,H,2,ROUND_OF_16,SECOND_LEG,19124.0,POR,47327.0
1959-06-28,1959,1950,Poland,Spain,POL,ESP,2.0,4.0,A,1,ROUND_OF_16,FIRST_LEG,71469.0,POL,54374.0
1959-09-23,1959,1950,Austria,Norway,AUT,NOR,5.0,2.0,H,2,ROUND_OF_16,SECOND_LEG,34989.0,AUT,49898.0
1959-09-23,1959,1950,Denmark,Czechoslovakia,DEN,TCH,2.0,2.0,D,1,ROUND_OF_16,FIRST_LEG,32000.0,DEN,38052.0
1959-09-27,1959,1950,Hungary,USSR,HUN,URS,0.0,1.0,A,2,ROUND_OF_16,SECOND_LEG,78481.0,HUN,25311.0
1959-10-14,1959,1950,Spain,Poland,ESP,POL,3.0,0.0,H,2,ROUND_OF_16,SECOND_LEG,62070.0,ESP,76806.0
1959-10-18,1959,1950,Czechoslovakia,Denmark,TCH,DEN,5.0,1.0,H,2,ROUND_OF_16,SECOND_LEG,31217.0,CZE,7793.0
1959-10-25,1959,1950,Bulgaria,Yugoslavia,BUL,YUG,1.0,1.0,D,2,ROUND_OF_16,SECOND_LEG,27560.0,BUL,43230.0
1959-12-13,1959,1950,France,Austria,FRA,AUT,5.0,2.0,H,1,QUARTER_FINALS,FIRST_LEG,43775.0,FRA,0.0
1960-03-27,1960,1960,Austria,France,AUT,FRA,2.0,4.0,A,2,QUARTER_FINALS,SECOND_LEG,39229.0,AUT,49898.0
1960-05-08,1960,1960,Portugal,Yugoslavia,POR,YUG,2.0,1.0,H,1,QUARTER_FINALS,FIRST_LEG,39978.0,POR,37942.0
1960-05-22,1960,1960,Romania,Czechoslovakia,ROU,TCH,0.0,2.0,A,1,QUARTER_FINALS,FIRST_LEG,61306.0,ROU,0.0
1960-05-22,1960,1960,Yugoslavia,Portugal,YUG,POR,5.0,1.0,H,2,QUARTER_FINALS,SECOND_LEG,43000.0,SRB,29662.0
1960-05-22,1960,1960,Spain,USSR,ESP,URS,0.0,0.0,D,1,QUARTER_FINALS,FIRST_LEG,,ESP,76806.0
1960-05-29,1960,1960,Czechoslovakia,Romania,TCH,ROU,3.0,0.0,H,2,QUARTER_FINALS,SECOND_LEG,31057.0,SVK,29887.0
1960-05-29,1960,1960,USSR,Spain,URS,ESP,3.0,0.0,H,2,QUARTER_FINALS,SECOND_LEG,,,
1962-06-21,1962,1960,Greece,Albania,GRE,ALB,0.0,3.0,A,1,PRELIMINARY,FIRST_LEG,,,
1962-06-21,1962,1960,Norway,Sweden,NOR,SWE,0.0,2.0,A,1,PRELIMINARY,FIRST_LEG,27555.0,NOR,27184.0
1962-06-28,1962,1960,Denmark,Malta,DEN,MLT,6.0,1.0,H,1,PRELIMINARY,FIRST_LEG,10622.0,DEN,38052.0
1962-08-12,1962,1960,Republic of Ireland,Iceland,IRL,ISL,4.0,2.0,H,1,PRELIMINARY,FIRST_LEG,19848.0,IRL,2740.0
1962-09-02,1962,1960,Iceland,Republic of Ireland,ISL,IRL,1.0,1.0,D,2,PRELIMINARY,SECOND_LEG,9014.0,ISL,9767.0
1962-10-03,1962,1960,England,France,ENG,FRA,1.0,1.0,D,1,PRELIMINARY,FIRST_LEG,35380.0,ENG,39814.0
1962-10-10,1962,1960,Poland,Northern Ireland,POL,NIR,0.0,2.0,A,1,PRELIMINARY,FIRST_LEG,31496.0,POL,54374.0
1962-11-01,1962,1960,Spain,Romania,ESP,ROU,6.0,0.0,H,1,PRELIMINARY,FIRST_LEG,51608.0,ESP,76806.0
1962-11-04,1962,1960,Sweden,Norway,SWE,NOR,1.0,1.0,D,2,PRELIMINARY,SECOND_LEG,8296.0,SWE,1541.0
1962-11-04,1962,1960,Yugoslavia,Belgium,YUG,BEL,3.0,2.0,H,1,PRELIMINARY,FIRST_LEG,25430.0,SRB,29662.0
1962-11-07,1962,1960,Hungary,Wales,HUN,WAL,3.0,1.0,H,1,PRELIMINARY,FIRST_LEG,30412.0,HUN,25311.0
1962-11-07,1962,1960,Bulgaria,Portugal,BUL,POR,3.0,1.0,H,1,PRELIMINARY,FIRST_LEG,25718.0,BUL,43230.0
1962-11-11,1962,1960,Netherlands,Switzerland,NED,SUI,3.0,1.0,H,1,PRELIMINARY,FIRST_LEG,59996.0,NED,0.0
1962-11-21,1962,1960,German Dem. Rep.,Czechoslovakia,GDR,TCH,2.0,1.0,H,1,PRELIMINARY,FIRST_LEG,22077.0,GER,0.0
1962-11-25,1962,1960,Romania,Spain,ROU,ESP,3.0,1.0,H,2,PRELIMINARY,SECOND_LEG,72762.0,ROU,0.0
1962-11-28,1962,1960,Northern Ireland,Poland,NIR,POL,2.0,0.0,H,2,PRELIMINARY,SECOND_LEG,28833.0,NIR,18434.0
1962-12-02,1962,1960,Italy,Türki̇ye,ITA,TUR,6.0,0.0,H,1,PRELIMINARY,FIRST_LEG,26553.0,ITA,30790.0
1962-12-08,1962,1960,Malta,Denmark,MLT,DEN,1.0,3.0,A,2,PRELIMINARY,SECOND_LEG,6987.0,MLT,0.0
1962-12-16,1962,1960,Portugal,Bulgaria,POR,BUL,3.0,1.0,H,2,PRELIMINARY,SECOND_LEG,25836.0,POR,14493.0
1963-01-23,1963,1960,Bulgaria,Portugal,BUL,POR,1.0,0.0,H,1,PRELIMINARY,REPLAY,2336.0,ITA,69689.0
1963-02-27,1963,1960,France,England,FRA,ENG,5.0,2.0,H,2,PRELIMINARY,SECOND_LEG,23986.0,FRA,47926.0
1963-03-20,1963,1960,Wales,Hungary,WAL,HUN,1.0,1.0,D,2,PRELIMINARY,SECOND_LEG,30213.0,WAL,12891.0
1963-03-27,1963,1960,Türki̇ye,Italy,TUR,ITA,0.0,1.0,A,2,PRELIMINARY,SECOND_LEG,27290.0,TUR,32086.0
1963-03-31,1963,1960,Albania,Greece,ALB,GRE,0.0,0.0,D,2,PRELIMINARY,SECOND_LEG,,ALB,16147.0
1963-03-31,1963,1960,Switzerland,Netherlands,SUI,NED,1.0,1.0,D,2,PRELIMINARY,SECOND_LEG,31794.0,SUI,30173.0
1963-03-31,1963,1960,Czechoslovakia,German Dem. Rep.,TCH,GDR,1.0,1.0,D,2,PRELIMINARY,SECOND_LEG,19504.0,CZE,19336.0
1963-03-31,1963,1960,Belgium,Yugoslavia,BEL,YUG,0.0,1.0,A,2,PRELIMINARY,SECOND_LEG,24583.0,BEL,48693.0
1963-05-30,1963,1960,Spain,Northern Ireland,ESP,NIR,1.0,1.0,D,1,ROUND_OF_16,FIRST_LEG,27960.0,ESP,39713.0
1963-06-19,1963,1960,Yugoslavia,Sweden,YUG,SWE,0.0,0.0,D,1,ROUND_OF_16,FIRST_LEG,25098.0,SRB,29662.0
1963-06-29,1963,1960,Denmark,Albania,DEN,ALB,4.0,0.0,H,1,ROUND_OF_16,FIRST_LEG,26640.0,DEN,38052.0
1963-09-11,1963,1960,Netherlands,Luxembourg,NED,LUX,1.0,1.0,D,1,ROUND_OF_16,FIRST_LEG,36523.0,NED,0.0
1963-09-18,1963,1960,Sweden,Yugoslavia,SWE,YUG,3.0,2.0,H,2,ROUND_OF_16,SECOND_LEG,20285.0,SWE,1541.0
1963-09-25,1963,1960,Austria,Republic of Ireland,AUT,IRL,0.0,0.0,D,1,ROUND_OF_16,FIRST_LEG,26741.0,AUT,49898.0
1963-09-29,1963,1960,Bulgaria,France,BUL,FRA,1.0,0.0,H,1,ROUND_OF_16,FIRST_LEG,25947.0,BUL,43230.0
1963-10-13,1963,1960,Republic of Ireland,Austria,IRL,AUT,3.0,2.0,H,2,ROUND_OF_16,SECOND_LEG,39963.0,IRL,2740.0
1963-10-13,1963,1960,USSR,Italy,URS,ITA,2.0,0.0,H,1,ROUND_OF_16,FIRST_LEG,102358.0,RUS,81015.0
1963-10-19,1963,1960,German Dem. Rep.,Hungary,GDR,HUN,1.0,2.0,A,1,ROUND_OF_16,FIRST_LEG,33383.0,GER,0.0
1963-10-26,1963,1960,France,Bulgaria,FRA,BUL,3.0,1.0,H,2,ROUND_OF_16,SECOND_LEG,32233.0,FRA,47926.0
1963-10-30,1963,1960,Albania,Denmark,ALB,DEN,1.0,0.0,H,2,ROUND_OF_16,SECOND_LEG,27765.0,ALB,16147.0
1963-10-30,1963,1960,Luxembourg,Netherlands,LUX,NED,2.0,1.0,H,2,ROUND_OF_16,SECOND_LEG,42385.0,NED,48100.0
1963-10-30,1963,1960,Northern Ireland,Spain,NIR,ESP,0.0,1.0,A,2,ROUND_OF_16,SECOND_LEG,45809.0,NIR,18434.0
1963-11-03,1963,1960,Hungary,German Dem. Rep.,HUN,GDR,3.0,3.0,D,2,ROUND_OF_16,SECOND_LEG,35382.0,HUN,25311.0
1963-11-10,1963,1960,Italy,USSR,ITA,URS,1.0,1.0,D,2,ROUND_OF_16,SECOND_LEG,69567.0,ITA,69689.0
1963-12-04,1963,1960,Luxembourg,Denmark,LUX,DEN,3.0,3.0,D,1,QUARTER_FINALS,FIRST_LEG,6921.0,LUX,8022.0
1963-12-10,1963,1960,Denmark,Luxembourg,DEN,LUX,2.0,2.0,D,2,QUARTER_FINALS,SECOND_LEG,36294.0,DEN,38052.0
1963-12-18,1963,1960,Denmark,Luxembourg,DEN,LUX,1.0,0.0,H,1,QUARTER_FINALS,REPLAY,5700.0,NED,0.0
